"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_swap_without_temp[-5--10--10--5]","","Mon Jun 30 22:58:07 IST 2025","passed","Mon Jun 30 22:58:07 IST 2025","","test_swap","",""
"","1","test_swap_without_temp[123-456-456-123]","","Mon Jun 30 22:58:07 IST 2025","passed","Mon Jun 30 22:58:07 IST 2025","","test_swap","",""
"","1","test_swap_without_temp[0-0-0-0]","","Mon Jun 30 22:58:07 IST 2025","passed","Mon Jun 30 22:58:07 IST 2025","","test_swap","",""
"","1","test_swap_without_temp[5-10-10-5]","","Mon Jun 30 22:58:07 IST 2025","passed","Mon Jun 30 22:58:07 IST 2025","","test_swap","",""
"","0","test_swap_without_temp[-1-1-1--1]","","Mon Jun 30 22:58:07 IST 2025","passed","Mon Jun 30 22:58:07 IST 2025","","test_swap","",""
